Key: Xmp.xmp.ModifyDate, Value: 2023-03-08T10:02:35+08:00
Key: Xmp.drone-dji.DewarpHMatrix, Value: 1.716200,0.000000,415.752014,0.000000,1.716200,309.813995,0.000000,0.000000,1.000000
Key: Xmp.drone-dji.VignettingFlag, Value: 0
Key: Xmp.drone-dji.VignettingData, Value: -0.000235835, 2.474329e-06, -7.130993e-09, 1.073195e-11, -7.355319e-15, 1.918753e-18
Key: Xmp.drone-dji.LS_type, Value: 1
Key: Xmp.drone-dji.Package_idx, Value: 74
Key: Xmp.drone-dji.Cfg_cnt, Value: 1
Key: Xmp.drone-dji.RawData, Value: 9377.000 8298.000 10027.000 8516.000
Key: Xmp.drone-dji.BandName, Value: Red
Key: Xmp.drone-dji.BandFreq, Value: 650(+/-16)nm
Key: Xmp.drone-dji.Irradiance, Value: 9805.852
Key: Xmp.drone-dji.SensorGain, Value: 1.000
Key: Xmp.drone-dji.ExposureTime, Value: 857
Key: Xmp.drone-dji.SensorGainAdjustment, Value: 0.519792
Key: Xmp.drone-dji.SensorIndex, Value: 2
Key: Xmp.drone-dji.DroneID, Value: 1581F5FKD22BE00A67ZB
Key: Xmp.crs.Version, Value: 7.0
Key: Xmp.crs.HasSettings, Value: False
Key: Xmp.crs.HasCrop, Value: False
Key: Xmp.crs.AlreadyApplied, Value: False
Key: Xmp.Camera.RigName, Value: M3M
Key: Xmp.Camera.BandName, Value: Red
Key: Xmp.Camera.CentralWavelength, Value: 650
Key: Xmp.Camera.WavelengthFWHM, Value: 16
Key: Xmp.Camera.ModelType, Value: perspective
Key: Xmp.Camera.PrincipalPoint, Value: 2.582040,1.924196
Key: Xmp.Camera.PerspectiveFocalLength, Value: 4.340000
Key: Xmp.Camera.PerspectiveFocalLengthUnits, Value: mm
Key: Xmp.Camera.PerspectiveDistortion, Value: ['0.005713', '-0.044653', '0.000000', '-0.000344', '-0.000706']
Key: Xmp.Camera.RigCameraIndex, Value: 2
Key: Xmp.Camera.BlackCurrent, Value: 3200
Key: Xmp.Camera.SunSensor, Value: 9921.886
Key: Xmp.Camera.SunSensorExposureTime, Value: 0.182
Key: Xmp.Camera.VignettingPolynomial, Value: ['-2.358350e-04', '2.474329e-06', '-7.130993e-09', '1.073195e-11', '-7.355319e-15', '1.918753e-18']
Key: Xmp.Camera.VignettingCenter, Value: ['1271.815674', '937.595703']
Key: Xmp.Camera.IsNormalized, Value: 0
Key: Xmp.Camera.IrradianceExposureTime, Value: 0.182000
Key: Xmp.Camera.IrradianceGain, Value: 64.000000
Key: Xmp.Camera.Irradiance, Value: 9805.851562
Key: Xmp.Camera.SunSensorYaw, Value: -168.000000
Key: Xmp.Camera.SunSensorPitch, Value: -8.799999
Key: Xmp.Camera.SunSensorRoll, Value: 0.700000
