Key: Xmp.xmp.ModifyDate, Value: 2023-03-08T10:02:35+08:00
Key: Xmp.drone-dji.DewarpHMatrix, Value: 1.716200,0.000000,415.752014,0.000000,1.716200,309.813995,0.000000,0.000000,1.000000
Key: Xmp.drone-dji.VignettingFlag, Value: 0
Key: Xmp.drone-dji.VignettingData, Value: -0.000152509, 1.849619e-06, -5.409508e-09, 8.617081e-12, -6.168468e-15, 1.673783e-18
Key: Xmp.drone-dji.LS_type, Value: 1
Key: Xmp.drone-dji.Package_idx, Value: 74
Key: Xmp.drone-dji.Cfg_cnt, Value: 1
Key: Xmp.drone-dji.RawData, Value: 9377.000 8298.000 10027.000 8516.000
Key: Xmp.drone-dji.BandName, Value: Green
Key: Xmp.drone-dji.BandFreq, Value: 560(+/-16)nm
Key: Xmp.drone-dji.Irradiance, Value: 11049.067
Key: Xmp.drone-dji.SensorGain, Value: 1.049
Key: Xmp.drone-dji.ExposureTime, Value: 1547
Key: Xmp.drone-dji.SensorGainAdjustment, Value: 0.489151
Key: Xmp.drone-dji.SensorIndex, Value: 1
Key: Xmp.drone-dji.DroneID, Value: 1581F5FKD22BE00A67ZB
Key: Xmp.crs.Version, Value: 7.0
Key: Xmp.crs.HasSettings, Value: False
Key: Xmp.crs.HasCrop, Value: False
Key: Xmp.crs.AlreadyApplied, Value: False
Key: Xmp.Camera.RigName, Value: M3M
Key: Xmp.Camera.BandName, Value: Green
Key: Xmp.Camera.CentralWavelength, Value: 560
Key: Xmp.Camera.WavelengthFWHM, Value: 16
Key: Xmp.Camera.ModelType, Value: perspective
Key: Xmp.Camera.PrincipalPoint, Value: 2.567780,1.941016
Key: Xmp.Camera.PerspectiveFocalLength, Value: 4.340000
Key: Xmp.Camera.PerspectiveFocalLengthUnits, Value: mm
Key: Xmp.Camera.PerspectiveDistortion, Value: ['0.009359', '-0.051897', '0.000000', '-0.000821', '-0.000755']
Key: Xmp.Camera.RigCameraIndex, Value: 1
Key: Xmp.Camera.BlackCurrent, Value: 3200
Key: Xmp.Camera.SunSensor, Value: 11165.276
Key: Xmp.Camera.SunSensorExposureTime, Value: 0.182
Key: Xmp.Camera.VignettingPolynomial, Value: ['-1.525087e-04', '1.849619e-06', '-5.409508e-09', '8.617081e-12', '-6.168468e-15', '1.673783e-18']
Key: Xmp.Camera.VignettingCenter, Value: ['1234.367798', '963.694702']
Key: Xmp.Camera.IsNormalized, Value: 0
Key: Xmp.Camera.IrradianceExposureTime, Value: 0.182000
Key: Xmp.Camera.IrradianceGain, Value: 64.000000
Key: Xmp.Camera.Irradiance, Value: 11049.067383
Key: Xmp.Camera.SunSensorYaw, Value: -168.000000
Key: Xmp.Camera.SunSensorPitch, Value: -8.799999
Key: Xmp.Camera.SunSensorRoll, Value: 0.700000
